name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"40.165448, -7.17927",2021-09-05T00:00:00,19.9,19.9,6.1,40.58,0,0,,,,,8.6,220,1014.7,86.8,,0,0,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-09-05T01:00:00,24.7,24.7,6.5,31.12,0,0,,,,,5.4,88.2,,81,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"40.165448, -7.17927",2021-09-05T02:00:00,19.8,19.8,6.5,42.14,0,0,,,,,5.5,112,1014.8,52.2,,0,0,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-09-05T03:00:00,19,19,6.9,45.24,0,0,,,,,3.9,115,1014.5,23,,0,0,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-09-05T04:00:00,21.4,21.4,6.8,38.79,0,0,,,,,9.4,131.7,,36.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"40.165448, -7.17927",2021-09-05T05:00:00,18.4,18.4,8,50.78,0,0,,,,,1.9,59,1014.6,50.3,,0,0,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-09-05T06:00:00,18.5,18.5,7.7,49.22,0,0,,,,,4.6,97,1014.7,71.8,,0,0,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999"
"40.165448, -7.17927",2021-09-05T07:00:00,18.1,18.1,8.4,52.92,0,0,,,,6.5,4.8,106,1015.2,92.1,,5,0,0,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T08:00:00,18.9,18.9,8.6,51.42,0,0,,,,,10.3,104,1015.7,78.6,,37,0.1,0,,Partially cloudy,partly-cloudy-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T09:00:00,19.7,19.7,8.4,47.88,0,0,,,,,13.3,133,1016.4,54.3,,144,0.5,1,,Partially cloudy,partly-cloudy-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T10:00:00,20.9,20.9,8.2,43.95,0,0,,,,,11.7,122,1016.6,62.7,,347,1.2,3,,Partially cloudy,partly-cloudy-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T11:00:00,23,23,8.4,39.27,0,0,,,,,12.6,137,1016.9,86.3,,542,2,5,,Partially cloudy,partly-cloudy-day,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T12:00:00,24.7,24.7,8.2,34.92,0,0,,,,,17,144,1016.6,93.5,,637,2.3,6,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T13:00:00,26.6,26.6,8.4,31.55,0,0,,,,,11.8,135,1016,93.6,,756,2.7,8,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T14:00:00,27.5,26.5,4.2,22.54,0,0,,,,,22.1,145,1015.4,93.5,,791,2.8,8,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T15:00:00,27.8,26.7,4,21.69,0,0,,,,,18.3,138,1014.9,94,,802,2.9,8,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T16:00:00,28.2,27,4.9,22.59,0,0,,,,,19.8,139,1014.3,93.8,,626,2.3,6,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T17:00:00,28.1,26.9,5.5,23.74,0,0,,,,,15.2,163,1014.1,93.8,,540,1.9,5,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T18:00:00,28,26.9,6.2,25.18,0,0,,,,,15.7,171,1013.9,93.9,,281,1,3,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T19:00:00,27.5,26.6,6.3,26.08,0,0,,,,,11.3,159,1013.9,91.9,,171,0.6,2,,Overcast,cloudy,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T20:00:00,26.5,26.5,6.5,27.87,0,0,,,,,16.7,173,1014.1,87.3,,31,0.1,0,,Partially cloudy,partly-cloudy-night,"08570099999,08568099999,E9353"
"40.165448, -7.17927",2021-09-05T21:00:00,21.7,21.7,6.1,36.29,0,0,,,,,21.6,160,,90.4,,0,0,0,,Overcast,cloudy,08568099999
"40.165448, -7.17927",2021-09-05T22:00:00,21.9,21.9,6.2,36.1,0,0,,,,,21.6,170,,95.2,,0,0,0,,Overcast,cloudy,08568099999
"40.165448, -7.17927",2021-09-05T23:00:00,23.2,23.2,8.1,38.13,0,0,,,,,22.4,146,1014.7,94.4,,0,0,0,,Overcast,cloudy,"08570099999,08568099999"
