ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2007,BL1072108,Florestal,Viseu,Tondela,Caparrosa,CAPARROSA,182104,203331,406207,2007-11-08,11:32:00,2007-11-08,14:30:00,2007-11-08,11:55:00,Outros,PT12051204,0.0,0.06,0.0,0.06,0.06,1,0,0,1,0,0,,,6.0,Desconhecida,40.62223025,-8.094324212310221
2007,BL107530,Florestal,Viseu,Sátão,São Miguel de Vila Boa,QUINTA DA REGADA,181709,231496,415137,2007-08-06,18:09:00,2007-08-06,19:20:00,2007-08-06,18:17:00,Populares,PT12051109,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,610.0,Desconhecida,40.7018457,-7.7558475
2007,DM2071965,Florestal,Porto,Penafiel,Valpedre,LG. XISTO (VALPEDRE),131136,185441,463145,2007-09-06,05:29:00,2007-09-06,11:15:00,2007-09-06,05:35:00,117,PT11051336,0.0,0.04,0.0,0.04,0.04,0,0,0,1,0,0,,,,,41.14657255,-8.311098656300938
2007,DM207361,Florestal,Porto,Paços de Ferreira,Arreigada,R. DE S. PEDRO (Arreigada),130901,178244,475756,2007-01-30,23:56:00,2007-01-31,01:12:00,2007-01-31,00:01:00,Populares,PT11051101,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.2505024,-8.397302311430758
2007,DM2074203,Florestal,Porto,Vila Nova de Gaia,Grijó,TV. LAVANDEIRA (Travessa Nova da Lavandeira),131706,163688,449947,2007-11-13,03:51:00,2007-11-13,05:46:00,2007-11-13,04:00:00,Populares,PT11040906,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,41.030392250000006,-8.583434430828127
2007,DM2074216,Florestal,Porto,Vila Nova de Gaia,Grijó,Murracezes,131706,163063,451381,2007-11-13,13:28:00,2007-11-13,16:33:00,2007-11-13,13:35:00,117,PT11040906,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,,,41.030392250000006,-8.583434430828127
2007,DM207449,Florestal,Porto,Santo Tirso,Santo Tirso,VARZAE MONTE (SANTO TIRSO),131422,171365,486364,2007-05-16,21:49:00,2007-05-16,22:30:00,2007-05-16,22:00:00,Populares,PT11030422,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.35107,-8.4734104
2007,DM207596,Florestal,Porto,Vila Nova de Gaia,Olival,ARNELAS,131711,167297,455481,2007-06-23,23:10:00,2007-06-24,01:21:00,2007-06-23,23:16:00,117,PT11040911,0.0,0.1,0.0,0.1,0.1,0,0,0,1,0,0,,,,,41.0827135,-8.5235322
2007,DM4072198,Florestal,Braga,Cabeceiras de Basto,Rio Douro,MEIJOADELA (RIO DOURO) (Alto da Meijoadela),30415,220705,510822,2007-10-29,18:50:00,2007-10-29,22:00:00,2007-10-29,19:30:00,Populares,PT11050315,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,Serra da Cabreira,,,,41.551208,-7.9678771
2007,RO1071361,Florestal,Santarém,Benavente,Benavente,QUINTA VALE Dª FRANCA (Monte da Quinta),140501,148106,221219,2007-11-11,16:05:00,2007-11-11,16:39:00,2007-11-11,16:25:00,117,PT13050401,0.0,0.0005,0.0,0.0005,0.0005,0,0,0,1,0,0,,,,,38.95843905,-8.810396284134132
2007,RO107517,Florestal,Santarém,Ourém,Fátima,Cova da Iria,142106,154055,296155,2007-07-28,18:20:00,2007-07-28,19:31:00,2007-07-28,18:21:00,Populares,PT13041106,0.0,0.004,0.0,0.004,0.004,0,0,0,1,0,0,,,6.0,Desconhecida,39.6349644,-8.68267
2007,RO207571,Florestal,Lisboa,Amadora,Mina,CASAL DAS BRANCAS (Casal da Fonte Santa),111506,104029,203333,2007-07-13,14:24:00,2007-07-13,16:08:00,,,Populares,PT13020106,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,,,38.7597223,-9.2358134
